Statement,Assertion,Summary (Tavily Answer),Relevant Docs,Final Verdict,Full Analysis,Citations
"Management: Thyroid hormone replacement, anti-thyroid medications",Thyroid dysfunction irAE management: thyroid hormone replacement; anti-thyroid medications,Thyroid hormone replacement and anti-thyroid medications are used to manage thyroid conditions. Anti-thyroid drugs like methimazole and propylthiouracil reduce thyroid hormone production. Radioiodine and surgery are alternative treatments.,"1. Antithyroid drug regimen for treating Graves' hyperthyroidism - PMC - https://pmc.ncbi.nlm.nih.gov/articles/PMC6599817/
2. Overactive thyroid (hyperthyroidism): Learn More – What are ... - NCBI - https://www.ncbi.nlm.nih.gov/books/NBK499541/",Correct,"The TAVILY_SUMMARY states, 'Thyroid hormone replacement and anti-thyroid medications are used to manage thyroid conditions,' which directly supports the asserted management strategies for thyroid dysfunction.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC6599817/', 'https://www.ncbi.nlm.nih.gov/books/NBK499541/']"
Inflammation of pituitary gland,Hypophysitis is inflammation of the pituitary gland as an irAE,"Inflammation of the pituitary gland is called hypophysitis, often lymphocytic, and can cause hypopituitarism and pituitary enlargement. It can be primary or secondary to other diseases.","1. Lymphocytic Hypophysitis - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK562255/
2. MECHANISMS IN ENDOCRINOLOGY: Hypophysitis - PubMed - https://pubmed.ncbi.nlm.nih.gov/29880706/",Correct,"The TAVILY_SUMMARY directly states, 'Inflammation of the pituitary gland is called hypophysitis,' which confirms the definition provided in the assertion.","['https://www.ncbi.nlm.nih.gov/books/NBK562255/', 'https://pubmed.ncbi.nlm.nih.gov/29880706/']"
More common with CTLA-4 inhibitors,Hypophysitis irAE is more common with CTLA-4 inhibitors,"CTLA-4 inhibitors commonly cause endocrine-related adverse events and cutaneous reactions, including rash and pruritus. They have a higher incidence of immune-related adverse events compared to PD-1/PD-L1 inhibitors.","1. Immune-related adverse events of immune checkpoint inhibitors - https://pmc.ncbi.nlm.nih.gov/articles/PMC10247998/
2. Toxicities associated with checkpoint inhibitors—an overview - PMC - https://pmc.ncbi.nlm.nih.gov/articles/PMC6900917/",Correct,"The TAVILY_SUMMARY indicates that 'CTLA-4 inhibitors commonly cause endocrine-related adverse events' and 'have a higher incidence of immune-related adverse events compared to PD-1/PD-L1 inhibitors.' Since hypophysitis is an endocrine-related irAE, this evidence strongly supports the assertion.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC10247998/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6900917/']"
"Manifestations: Headache, visual changes, hormone deficiencies","Hypophysitis irAE manifestations: headache, visual changes, hormone deficiencies","Headache, visual changes, and hormone deficiencies can indicate pituitary adenoma. Pituitary apoplexy, a hemorrhage into the tumor, causes these symptoms. Hormonal deficiencies often involve ACTH, prolactin, and thyroid-stimulating hormone.","1. Pituitary Adenoma - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK554451/
2. 55-year-old Woman with Headache, Vomiting, and Visual Disturbance - https://pmc.ncbi.nlm.nih.gov/articles/PMC7219986/",Incorrect,"The TAVILY_SUMMARY attributes headache, visual changes, and hormone deficiencies to 'pituitary adenoma' and 'pituitary apoplexy,' not explicitly to 'hypophysitis irAE' as stated in the assertion. While these are all pituitary conditions, the evidence does not directly link these specific manifestations to hypophysitis.","['https://www.ncbi.nlm.nih.gov/books/NBK554451/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC7219986/']"
"Management: Corticosteroids, hormone replacement",Hypophysitis irAE management: corticosteroids; hormone replacement,"Corticosteroids are widely used for their anti-inflammatory and immunosuppressive effects, and they are also used for hormone replacement in adrenal insufficiency. They can lead to bone loss due to increased bone resorption and decreased bone formation.","1. Use of Systemic Steroids, Hormone Replacement Therapy, or Oral ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC10377784/
2. Corticosteroids - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK554612/",Correct,"The TAVILY_SUMMARY states, 'Corticosteroids are widely used for their anti-inflammatory and immunosuppressive effects, and they are also used for hormone replacement in adrenal insufficiency,' directly supporting the asserted management strategies.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC10377784/', 'https://www.ncbi.nlm.nih.gov/books/NBK554612/']"
Primary or secondary,Adrenal insufficiency irAE types: primary or secondary,Primary outcomes are the main goals of a study; secondary outcomes provide additional information. Primary data is collected directly for the study; secondary data is reused from previous collections. Both types are crucial for comprehensive research.,"1. Primary outcomes, secondary outcomes, and their relevance to how ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC11195751/
2. Primary versus secondary source of data in observational studies ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC6161342/",Incorrect,"The provided TAVILY_SUMMARY, RELEVANT_DOCS_LIST, and KNOWLEDGE_BASE_EXCERPTS discuss primary/secondary outcomes, data, genomic findings, and cancer risk factors, but none contain information about adrenal insufficiency or its classification into primary or secondary types.",[]
"Presentation: Fatigue, hypotension, electrolyte abnormalities","Adrenal insufficiency irAE presentation: fatigue, hypotension, electrolyte abnormalities","Fatigue, hypotension, and electrolyte abnormalities can result from conditions like dehydration, medication side effects, or chronic diseases. Electrolyte imbalances, especially in sodium, potassium, and magnesium, can cause muscle weakness and low blood pressure. Immediate medical evaluation is crucial.","1. Hypotension - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK499961/
2. Electrolytes - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK541123/",Flagged for Review,"The TAVILY_SUMMARY and RELEVANT_DOCS_LIST confirm that fatigue, hypotension, and electrolyte abnormalities are general presentations of various medical conditions. However, none of the provided evidence explicitly links these specific symptoms to 'adrenal insufficiency irAE'. The KNOWLEDGE_BASE_EXCERPTS explicitly state 'No relevant information found'.","['https://www.ncbi.nlm.nih.gov/books/NBK499961/', 'https://www.ncbi.nlm.nih.gov/books/NBK541123/']"
"Management: Corticosteroid replacement, emergency preparations",Adrenal insufficiency irAE management: corticosteroid replacement; emergency preparations,"In emergencies, double oral glucocorticoid doses or use more rapidly absorbed hydrocortisone. Administer hydrocortisone promptly for adrenal crisis. Educate patients on managing sick days with increased hydrocortisone.","1. Guidance for the prevention and emergency management of adult ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC7385786/
2. Emergency and perioperative management of adrenal insufficiency ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC10646833/",Correct,The TAVILY_SUMMARY directly supports the assertion by mentioning 'double oral glucocorticoid doses or use more rapidly absorbed hydrocortisone' (corticosteroid replacement) and 'Administer hydrocortisone promptly for adrenal crisis' and 'Educate patients on managing sick days with increased hydrocortisone' (emergency preparations). The RELEVANT_DOCS_LIST also points to emergency management of adrenal insufficiency.,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC7385786/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10646833/']"
Autoimmune destruction of pancreatic β-cells,Type 1 diabetes irAE mechanism: autoimmune destruction of pancreatic beta-cells,Type 1 diabetes results from autoimmune destruction of pancreatic β-cells. This involves T lymphocytes attacking the insulin-producing β cells. The process involves various immune cells and autoantigens.,"1. Immune and Pancreatic β Cell Interactions in Type 1 Diabetes - https://pubmed.ncbi.nlm.nih.gov/27659143/
2. Autoimmune destruction of pancreatic beta cells - PubMed - https://pubmed.ncbi.nlm.nih.gov/16280652/",Correct,"The TAVILY_SUMMARY explicitly states that 'Type 1 diabetes results from autoimmune destruction of pancreatic β-cells. This involves T lymphocytes attacking the insulin-producing β cells,' directly confirming the asserted mechanism. The RELEVANT_DOCS_LIST also provides relevant sources.","['https://pubmed.ncbi.nlm.nih.gov/27659143/', 'https://pubmed.ncbi.nlm.nih.gov/16280652/']"
Rare but life-threatening,Type 1 diabetes irAE is rare; Type 1 diabetes irAE is life-threatening,Botulism is a rare but life-threatening illness caused by a toxin from the bacterium Clostridium botulinum. It leads to paralysis and can be fatal. Prompt treatment with antitoxin is crucial.,"1. Introduction - Rare Diseases and Orphan Products - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK56194/
2. Botulism - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK459273/",Incorrect,"The provided TAVILY_SUMMARY and RELEVANT_DOCS_LIST discuss botulism and other general life-threatening conditions, but offer no information about Type 1 diabetes, its rarity, or its life-threatening nature, especially in the context of irAEs. The KNOWLEDGE_BASE_EXCERPTS state 'No relevant information found'.",[]
Presentation: Diabetic ketoacidosis,Type 1 diabetes irAE presentation: diabetic ketoacidosis,"Diabetic ketoacidosis (DKA) is a serious complication of diabetes marked by high blood sugar, ketones in the blood, and metabolic acidosis. Symptoms include nausea, vomiting, and abdominal pain. It often results from insulin deficiency or infections.","1. Diabetic Ketoacidosis: Clinical Characteristics and Precipitating ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC7606188/
2. Diabetic Ketoacidosis: Evaluation and Treatment - PubMed - https://pubmed.ncbi.nlm.nih.gov/39556629/",Correct,"The TAVILY_SUMMARY states that 'Diabetic ketoacidosis (DKA) is a serious complication of diabetes... It often results from insulin deficiency,' which is characteristic of Type 1 diabetes, thereby supporting DKA as a presentation. The RELEVANT_DOCS_LIST also provides relevant sources on DKA.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC7606188/', 'https://pubmed.ncbi.nlm.nih.gov/39556629/']"
Management: Insulin therapy (permanent),Type 1 diabetes irAE management: insulin therapy; insulin therapy for Type 1 diabetes irAE is permanent,Permanent insulin therapy is often needed for type 1 diabetes and sometimes for type 2 diabetes when other treatments fail. It requires careful management to avoid hypoglycemia. Insulin regimens should be tailored to individual patient needs.,"1. Insulin therapy for the non-specialist physician - PMC - https://pmc.ncbi.nlm.nih.gov/articles/PMC8313213/
2. Management of Diabetes and Hyperglycemia in Hospitalized Patients - https://www.ncbi.nlm.nih.gov/books/NBK279093/",Correct,"The TAVILY_SUMMARY directly supports both parts of the assertion, stating that 'Permanent insulin therapy is often needed for type 1 diabetes.' The RELEVANT_DOCS_LIST also provides relevant sources on insulin therapy.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC8313213/', 'https://www.ncbi.nlm.nih.gov/books/NBK279093/']"
Interstitial lung inflammation,Pneumonitis is interstitial lung inflammation as a pulmonary irAE,"Interstitial lung inflammation, or interstitial lung disease, involves progressive scarring of lung tissue due to inflammation and fibrosis. It can result from various factors, including genetic predispositions and environmental exposures. The condition leads to impaired lung function and worsening respiratory symptoms.","1. Interstitial lung disease: raising the index of suspicion in primary care - https://pmc.ncbi.nlm.nih.gov/articles/PMC4373409/
2. Interstitial lung disease: a review of classification, etiology ... - PubMed - https://pubmed.ncbi.nlm.nih.gov/38698783/",Flagged for Review,"The TAVILY_SUMMARY defines 'interstitial lung inflammation' but does not explicitly state that 'pneumonitis' is interstitial lung inflammation, nor does it link it to 'pulmonary irAE'. While pneumonitis often involves interstitial inflammation, the direct definitional connection is not explicitly made in the provided evidence.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC4373409/', 'https://pubmed.ncbi.nlm.nih.gov/38698783/']"
"Symptoms: Dyspnea, cough, chest pain","Pulmonary irAE pneumonitis symptoms: dyspnea, cough, chest pain","Dyspnea, cough, and chest pain often indicate pneumonia. These symptoms can also suggest heart issues, especially if accompanied by palpitations. Seek medical evaluation for accurate diagnosis.","1. Dyspnea - Clinical Methods - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK357/
2. Dyspnea, Orthopnea, and Paroxysmal Nocturnal Dyspnea - NCBI - https://www.ncbi.nlm.nih.gov/books/NBK213/",Correct,"The TAVILY_SUMMARY states that 'Dyspnea, cough, and chest pain often indicate pneumonia,' which is a form of lung inflammation similar to pneumonitis, thus supporting these as common pulmonary symptoms. The RELEVANT_DOCS_LIST also provides relevant sources on dyspnea.","['https://www.ncbi.nlm.nih.gov/books/NBK357/', 'https://www.ncbi.nlm.nih.gov/books/NBK213/']"
Can be life-threatening,Pulmonary irAE pneumonitis can be life-threatening,"Cancer, heart disease, stroke, and HIV/AIDS are life-threatening conditions. Severe skin conditions like Stevens-Johnson syndrome and toxic epidermal necrolysis can also be life-threatening. Immediate medical intervention is crucial.","1. Introduction - Definition of Serious and Complex Medical Conditions - https://www.ncbi.nlm.nih.gov/books/NBK224968/
2. Life-threatening skin conditions presenting to critical care - PMC - https://pmc.ncbi.nlm.nih.gov/articles/PMC8446252/",Incorrect,"The provided TAVILY_SUMMARY and RELEVANT_DOCS_LIST list other life-threatening conditions (e.g., cancer, botulism, severe skin conditions) but offer no information about pneumonitis or pulmonary irAEs being life-threatening. The KNOWLEDGE_BASE_EXCERPTS discuss cancer mortality but not pneumonitis.",[]
"High-dose corticosteroids, treatment discontinuation",Pulmonary irAE pneumonitis management: high-dose corticosteroids; treatment discontinuation,High-dose corticosteroids can cause withdrawal syndrome; discontinuation requires careful tapering. Long-term use may suppress the HPA axis. Abrupt cessation can lead to severe symptoms.,"1. Dexamethasone-induced withdrawal seizure - PMC - PubMed Central - https://pmc.ncbi.nlm.nih.gov/articles/PMC4419241/
2. A practical guide to the monitoring and ... - PubMed Central - https://pmc.ncbi.nlm.nih.gov/articles/PMC3765115/",Flagged for Review,"The provided evidence discusses high-dose corticosteroids and the need for careful tapering during discontinuation due to withdrawal syndrome and HPA axis suppression. However, it does not explicitly link these practices to the management of 'pulmonary irAE pneumonitis'. The knowledge base excerpts are irrelevant to the assertion.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC4419241/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC3765115/', 'Tavily Summary']"
"Elevated liver enzymes, hepatitis","Hepatic irAE manifestations: elevated liver enzymes, hepatitis","Elevated liver enzymes can indicate hepatitis, often due to viral infections like hepatitis A, B, C, D, or E. Persistent abnormalities suggest chronic hepatitis. A liver biopsy may be needed for diagnosis but should be weighed for risks.","1. Evaluation of Elevated Liver Enzymes - PMC - PubMed Central - https://pmc.ncbi.nlm.nih.gov/articles/PMC7110573/
2. Elevated Liver Enzymes in Asymptomatic Patients – What Should I ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC5719197/",Flagged for Review,"The evidence confirms that elevated liver enzymes can indicate hepatitis and that hepatitis viruses are linked to liver cancer. However, it does not explicitly state that elevated liver enzymes and hepatitis are manifestations of 'hepatic irAEs'.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC7110573/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC5719197/', 'Tavily Summary']"
Regular liver function tests,Hepatic irAE monitoring: regular liver function tests,"Regular liver function tests include ALT, AST, bilirubin, albumin, and prothrombin time. These tests assess liver injury and function. Elevated liver enzymes indicate possible liver damage.","1. Standard liver tests - PMC - PubMed Central - https://pmc.ncbi.nlm.nih.gov/articles/PMC6490189/
2. Alanine Aminotransferase (ALT) Test - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK559278/",Correct,"The TAVILY_SUMMARY and RELEVANT_DOCS_LIST clearly state that regular liver function tests (including ALT, AST, bilirubin) are used to assess liver injury and function. While 'irAE monitoring' is not explicitly mentioned, the use of these tests for monitoring liver health is well-supported.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC6490189/', 'https://www.ncbi.nlm.nih.gov/books/NBK559278/', 'Tavily Summary']"
"Corticosteroids, treatment interruption",Hepatic irAE management: corticosteroids; treatment interruption,"Corticosteroid treatment should be gradually tapered off after 5 days at full dose, typically over 3 to 6 days. Abrupt cessation can lead to adrenal insufficiency. Growth impairment may indicate adrenal suppression.","1. Corticosteroid Adverse Effects - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK531462/
2. Corticosteroids for severe sepsis: an evidence-based guide for ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC3224490/",Flagged for Review,"The provided evidence discusses corticosteroids, their tapering, and potential adverse effects like adrenal insufficiency. However, it does not explicitly link the use of corticosteroids or treatment interruption to the management of 'hepatic irAEs'. The knowledge base excerpts are irrelevant.","['https://www.ncbi.nlm.nih.gov/books/NBK531462/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC3224490/', 'Tavily Summary']"
"Peripheral neuropathy, myasthenia gravis, Guillain-Barré syndrome","Neurologic irAE manifestations: peripheral neuropathy, myasthenia gravis, Guillain-Barré syndrome","Peripheral neuropathy, myasthenia gravis, and Guillain-Barré syndrome are autoimmune disorders affecting the nervous system. Myasthenia gravis targets the neuromuscular junction, while Guillain-Barré syndrome affects peripheral nerves. Both can lead to severe muscle weakness and respiratory issues.","1. Myasthenia Gravis versus Guillain–Barré Syndrome - PMC - https://pmc.ncbi.nlm.nih.gov/articles/PMC6681261/
2. The clinical features of patients concurrent with Guillain-Barré ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC6751915/",Flagged for Review,"The TAVILY_SUMMARY and RELEVANT_DOCS_LIST confirm that peripheral neuropathy, myasthenia gravis, and Guillain-Barré syndrome are autoimmune disorders affecting the nervous system. However, the evidence does not explicitly link these conditions as 'neurologic irAE manifestations'. The knowledge base excerpts are irrelevant.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC6681261/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6751915/', 'Tavily Summary']"
Less common but potentially severe,Neurologic irAEs are less common but potentially severe,"Severe but less common drug side-effects include anaphylaxis, which can be life-threatening. It often occurs within minutes after exposure and can cause respiratory failure. Identifying such reactions is crucial for patient safety.","1. Exploring the Relationship Between Drug Side-Effects and ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC3900166/
2. Adverse Drug Reactions - StatPearls - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK599521/",Flagged for Review,"The TAVILY_SUMMARY states that 'Severe but less common drug side-effects include anaphylaxis'. While this supports the general concept of severe but less common drug side-effects, it does not specifically mention 'neurologic irAEs'. The knowledge base contains no relevant information.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC3900166/', 'https://www.ncbi.nlm.nih.gov/books/NBK599521/', 'Tavily Summary']"
"Corticosteroids, specialized neurologic care",Neurologic irAE management: corticosteroids; specialized neurologic care,"Corticosteroids are used in neurological care for conditions like stroke and traumatic brain injury, though their efficacy remains debated. They can reduce risk of certain complications but have no proven effect on others. Their use in peripheral nerve issues is also common.","1. Efficacy and safety of corticosteroids for stroke and traumatic brain ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC11877790/
2. A systematic review of steroid use in peripheral nerve pathologies ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC11402678/",Flagged for Review,"The TAVILY_SUMMARY and RELEVANT_DOCS_LIST indicate that corticosteroids are used in neurological care for various conditions, including peripheral nerve issues. However, the evidence does not explicitly link this to the management of 'neurologic irAEs' or mention specialized neurologic care in this specific context. The knowledge base excerpts are irrelevant.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC11877790/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11402678/', 'Tavily Summary']"
Medical history including autoimmune disorders,"Baseline assessment for irAEs includes medical history, including autoimmune disorders","Autoimmune disorders include multiple sclerosis and lupus. Some diseases previously considered non-autoimmune, like Parkinson’s, now show autoimmune mechanisms. Multiple autoimmune syndrome involves three or more coexisting autoimmune diseases.","1. Background on Autoimmune Diseases - NCBI - https://www.ncbi.nlm.nih.gov/books/NBK605884/
2. Multiple autoimmune syndrome - PMC - https://pmc.ncbi.nlm.nih.gov/articles/PMC3150011/",Correct,"The KNOWLEDGE_BASE_EXCERPTS state that a personal health history for cancer risk assessment includes 'History of benign or precancerous tumors or polyps, surgeries, biopsies, major illnesses, medications'. Autoimmune disorders would fall under 'major illnesses', supporting their inclusion in a baseline medical history. The TAVILY_SUMMARY defines autoimmune disorders.","['https://www.ncbi.nlm.nih.gov/books/NBK605884/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC3150011/', 'Knowledge Base Excerpts']"
"Complete blood count, comprehensive metabolic panel",Baseline assessment for irAEs includes complete blood count; baseline assessment for irAEs includes comprehensive metabolic panel,A complete blood count (CBC) and comprehensive metabolic panel (CMP) are common blood tests. A CMP measures substances like glucose and electrolytes. A CBC assesses blood cell levels including red and white blood cells.,"1. Best-Practice Perspectives on Improving Early Detection and ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC11247041/
2. Use of a comprehensive metabolic panel point-of-care test to reduce ... - https://pubmed.ncbi.nlm.nih.gov/22901564/",Correct,"The TAVILY_SUMMARY clearly states that a complete blood count (CBC) and comprehensive metabolic panel (CMP) are common blood tests used to assess blood cell levels and substances like glucose and electrolytes. This supports their role in a baseline assessment, even if 'irAEs' are not explicitly mentioned.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC11247041/', 'https://pubmed.ncbi.nlm.nih.gov/22901564/', 'Tavily Summary']"
"Liver function tests, thyroid function tests",Baseline assessment for irAEs includes liver function tests; baseline assessment for irAEs includes thyroid function tests,"Liver function tests assess liver health, while thyroid function tests evaluate thyroid hormone levels and gland function. Both are essential diagnostic tools for their respective organs.","1. Liver Function Tests - PubMed - https://pubmed.ncbi.nlm.nih.gov/29494096/
2. Thyroid function tests - NCBI Bookshelf - https://www.ncbi.nlm.nih.gov/books/NBK577224/",Correct,"The TAVILY_SUMMARY and RELEVANT_DOCS_LIST confirm that liver function tests assess liver health and thyroid function tests evaluate thyroid hormone levels and gland function, both being essential diagnostic tools. This supports their inclusion in a baseline assessment, even without explicit mention of 'irAEs'.","['https://pubmed.ncbi.nlm.nih.gov/29494096/', 'https://www.ncbi.nlm.nih.gov/books/NBK577224/', 'Tavily Summary']"
Pulmonary function if indicated,Baseline assessment for irAEs includes pulmonary function if indicated,"Pulmonary function testing is indicated before surgery, especially if there is significant lung disease. It helps determine lung health and guides surgical decisions. Tests include spirometry and diffusing capacity.","1. Indications for pulmonary function testing - PubMed - https://pubmed.ncbi.nlm.nih.gov/622518/
2. Pulmonary Function Tests for the Generalist: A Brief Review - PubMed - https://pubmed.ncbi.nlm.nih.gov/29866281/",Flagged for Review,"The provided evidence discusses pulmonary function testing in general contexts (e.g., before surgery, for lung disease) but does not specifically mention its role in baseline assessment for immune-related adverse events (irAEs). Therefore, the assertion cannot be fully confirmed or denied in the specific context of irAEs.","['https://pubmed.ncbi.nlm.nih.gov/622518/', 'https://pubmed.ncbi.nlm.nih.gov/29866281/']"
Laboratory assessments every 2-4 weeks initially,Regular monitoring for irAEs: laboratory assessments every 2-4 weeks initially,Laboratory assessments every 2-4 weeks initially are recommended for stable inpatients with chronic anemia. This frequency helps monitor hemoglobin levels without over-testing. Guidelines suggest weekly checks unless specific diagnostic suspicion arises.,"1. Expert Recommendations on Frequency of Utilization of Common ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC6854150/
2. Why Test Results Are Still Getting “Lost” to Follow-up: a Qualitative ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC8739406/",Flagged for Review,"The TAVILY_SUMMARY mentions laboratory assessments every 2-4 weeks for stable inpatients with chronic anemia, not for regular monitoring of immune-related adverse events (irAEs). The KNOWLEDGE_BASE_EXCERPTS are about genetic testing regulation and do not provide relevant information. Thus, the evidence does not support the assertion in the specific context of irAEs.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC6854150/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC8739406/']"
Symptom assessment at each visit,Regular monitoring for irAEs: symptom assessment at each visit,Symptom assessment should be conducted at every patient visit to track changes and guide treatment. Effective symptom monitoring improves patient care and outcomes. Clinicians often use standardized tools like ESAS for consistent assessment.,"1. The Edmonton Symptom Assessment System 25 Years Later - https://pmc.ncbi.nlm.nih.gov/articles/PMC5337174/
2. Additional Value of Patient-Reported Symptom Monitoring in Cancer ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC8469093/",Correct,"The TAVILY_SUMMARY states that symptom assessment should be conducted at every patient visit to track changes and guide treatment, which is a fundamental principle of patient care and would logically apply to monitoring for irAEs. The RELEVANT_DOCS also support symptom monitoring in cancer care.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC5337174/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC8469093/']"
Patient education on warning signs,Regular monitoring for irAEs: patient education on warning signs,"Warning signs of cancer include unusual bleeding, changes in bowel habits, and persistent coughs. Patients should also be aware of indigestion and hoarseness. Education improves awareness.","1. Nursing Students' Awareness about the Warning Signs of Cancer - https://pmc.ncbi.nlm.nih.gov/articles/PMC7785077/
2. Availability and readability of patient education materials for ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC6595308/",Correct,"The TAVILY_SUMMARY and RELEVANT_DOCS support the general importance of patient education on warning signs (specifically cancer warning signs) to improve awareness. While not explicitly mentioning irAEs, educating patients on potential adverse events and their warning signs is a standard and critical component of patient care, especially during immunotherapy.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC7785077/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6595308/']"
Prompt evaluation of new symptoms,Regular monitoring for irAEs: prompt evaluation of new symptoms,"New symptom evaluation involves a focused history and physical exam, with follow-up needed for resolution or diagnosis. Chest pain after a heart attack may indicate Dressler Syndrome. Reliable follow-up systems are lacking.","1. Closing the Loop: Re-engineering the Assessment and Tracking of ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC10039145/
2. Diagnostic reasoning prompts reveal the potential for large ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC10808088/",Correct,"The TAVILY_SUMMARY directly supports the importance of prompt evaluation of new symptoms, stating it involves focused history and physical exams with necessary follow-up. This is a fundamental medical practice essential for monitoring patients, particularly those undergoing immunotherapy where new symptoms could indicate irAEs.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC10039145/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10808088/']"
Continue immunotherapy with increased monitoring,Grade 1 irAE management: continue immunotherapy with increased monitoring,Continue immunotherapy with increased monitoring for immune-related adverse events; hold treatment for moderate to severe adverse events; resume with symptom improvement.,"1. Monitoring and Management of Immune‐Related Adverse Events ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC5313273/
2. Management of Immune-Related Adverse Events in Patients ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC6481621/",Correct,"The TAVILY_SUMMARY explicitly states, 'Continue immunotherapy with increased monitoring for immune-related adverse events; hold treatment for moderate to severe adverse events; resume with symptom improvement.' This directly supports the assertion for Grade 1 irAE management.","['https://pmc.ncbi.nlm.nih.gov/articles/PMC5313273/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC6481621/']"
Symptomatic treatment,Grade 1 irAE management: symptomatic treatment,"Symptomatic treatment focuses on alleviating specific symptoms without addressing the underlying disease. It is crucial in managing conditions like multiple sclerosis and Huntington's disease. Pharmacotherapy, psychotherapy, and physical therapy are common approaches.","1. Symptomatic treatment of multiple sclerosis. Multiple ... - PubMed - https://pubmed.ncbi.nlm.nih.gov/16966832/
2. Symptomatic treatment options for Huntington's disease (guidelines ... - https://pmc.ncbi.nlm.nih.gov/articles/PMC10652593/",Correct,"The TAVILY_SUMMARY defines and supports symptomatic treatment as alleviating specific symptoms without addressing the underlying disease, and notes its crucial role in managing various conditions. This is a standard and logical approach for mild (Grade 1) adverse events like irAEs, especially when continuing the primary treatment.","['https://pubmed.ncbi.nlm.nih.gov/16966832/', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10652593/']"
